student_id,semester,hostel_resident,internet_access,attendance_percentage,avg_assignment_score,lms_login_frequency,library_visits_per_month,disciplinary_actions,dropout,engagement_index,academic_risk_score,attendance_volatility,resource_utilization_score,composite_dropout_risk
S00078,2,0,1,70.55,49.89,22,3,0,0,47.0401,50.11,0.0208,0.4154,0.5319
S00079,5,0,1,86.49,44.42,21,1,0,0,48.9767,55.58,0.2004,0.3385,0.5663
S00080,6,1,1,70.36,42.47,21,4,0,0,48.2939,57.53,0.0235,0.6538,0.4976
S00081,8,0,1,87.35,25.8,17,3,0,0,50.794,74.2,0.2124,0.4154,0.6152
S00082,4,1,1,70.1,39.12,18,2,0,0,42.5641,60.88,0.0271,0.5769,0.5503
S00083,2,0,1,78.15,45.23,22,0,0,0,44.3108,54.77,0.0847,0.3,0.589
S00084,7,0,1,75.95,47.93,23,4,0,0,51.7164,52.07,0.0541,0.4538,0.5138
S00085,6,1,1,77.07,20.7,22,0,0,0,43.8788,79.3,0.0697,0.5,0.6386
S00086,6,0,0,97.27,51.17,32,4,0,0,65.5834,48.83,0.35,0.1538,0.5273
S00087,1,1,1,47.63,22.59,23,3,1,1,38.4653,82.41,0.3389,0.6154,0.6412
S00088,3,0,1,70.97,43.94,32,0,0,0,47.3711,56.06,0.015,0.3,0.5834
S00089,7,1,1,74.97,15.47,14,4,1,0,45.9854,89.53,0.0405,0.6538,0.6337
S00090,7,0,1,72.72,30.25,17,3,0,0,44.942,69.75,0.0093,0.4154,0.6179
S00091,4,0,1,66.03,40.67,27,0,0,0,42.4289,59.33,0.0836,0.3,0.6138
S00092,7,1,1,63.98,33.42,25,2,0,0,44.2687,66.58,0.112,0.5769,0.5672
S00093,7,0,1,94.95,67.84,26,2,0,0,57.2499,32.16,0.3178,0.3769,0.434
S00094,4,0,0,70.94,33.66,18,2,0,0,42.9001,66.34,0.0154,0.0769,0.696
S00095,8,1,1,100.0,55.75,33,8,0,0,74.9609,44.25,0.3879,0.8077,0.3127
S00096,3,1,0,79.92,20.36,22,7,0,0,58.4804,79.64,0.1092,0.4692,0.5966
S00097,2,1,1,67.66,29.5,25,5,1,0,51.5099,75.5,0.0609,0.6923,0.5486
S00098,6,1,1,80.29,57.49,22,1,1,0,47.0899,47.51,0.1144,0.5385,0.4906
S00099,6,1,0,73.63,33.43,20,2,0,0,45.1626,66.57,0.0219,0.2769,0.639
S00100,2,1,1,92.13,44.66,18,6,0,0,59.0684,55.34,0.2787,0.7308,0.4319
S00101,7,1,1,54.48,29.8,27,5,0,0,47.4243,70.2,0.2439,0.6923,0.5417
S00102,2,0,1,44.98,31.8,14,0,0,1,26.2971,68.2,0.3757,0.3,0.7058
S00103,7,0,1,77.41,33.92,30,1,0,0,50.6837,66.08,0.0744,0.3385,0.6023
S00104,1,1,1,84.54,35.86,16,3,0,0,49.0768,64.14,0.1734,0.6154,0.5309
S00105,7,1,1,76.29,41.23,13,6,0,0,49.7663,58.77,0.0588,0.7308,0.4782
S00106,7,0,1,82.09,43.99,29,2,0,0,53.8855,56.01,0.1393,0.3769,0.5412
S00107,7,0,1,79.88,29.0,33,1,0,0,53.4513,71.0,0.1087,0.3385,0.6123
S00108,6,0,1,49.79,21.5,5,6,1,0,34.4206,83.5,0.309,0.5308,0.6808
S00109,4,0,1,76.22,24.94,23,0,0,0,44.1321,75.06,0.0579,0.3,0.6708
S00110,6,1,0,91.75,44.48,17,3,1,0,52.554,60.52,0.2734,0.3154,0.5793
S00111,3,0,1,74.58,41.095,18,2,0,0,44.3561,58.905,0.0351,0.3769,0.5861
S00112,7,1,1,52.35,21.27,13,3,2,0,34.4211,88.73,0.2734,0.6154,0.6806
S00113,5,1,0,66.99,49.23,25,1,0,0,43.5496,50.77,0.0702,0.2385,0.591
S00114,4,1,0,80.35,43.12,9,5,1,0,47.0944,61.88,0.1152,0.3923,0.5846
S00115,5,0,1,98.93,69.13,43,2,0,0,68.9266,30.87,0.3731,0.3769,0.388
S00116,5,1,1,42.65,5.0,10,6,1,1,34.5307,100.0,0.408,0.7308,0.6964
S00117,1,1,1,77.42,45.43,35,6,0,0,63.2692,54.57,0.0745,0.7308,0.4141
S00118,2,1,0,58.02,40.8,23,2,0,0,40.6982,59.2,0.1947,0.2769,0.6251
S00119,2,0,1,79.62,42.08,32,6,0,0,62.3695,57.92,0.1051,0.5308,0.4807
S00120,1,0,1,80.82,35.2,42,1,1,0,59.1663,69.8,0.1217,0.3385,0.5875
S00121,4,1,1,68.5,44.62,15,6,0,0,47.8368,55.38,0.0493,0.7308,0.4714
S00122,6,0,1,81.47,54.84,27,5,1,0,58.2203,50.16,0.1307,0.4923,0.4738
S00123,6,0,1,89.1,59.29,21,0,0,0,48.0976,40.71,0.2366,0.3,0.5195
S00124,4,1,0,69.53,18.94,21,6,1,1,51.8081,86.06,0.035,0.4308,0.6552
S00125,7,1,1,51.94,28.8,21,4,1,0,40.9259,76.2,0.2791,0.6538,0.5981
S00126,5,0,1,93.38,52.07,22,4,0,0,58.0952,47.93,0.296,0.4538,0.4749
S00127,1,0,0,84.43,35.38,24,2,1,0,51.8554,69.62,0.1718,0.0769,0.6778
S00128,7,0,1,80.46,41.41,16,3,0,1,47.4448,58.59,0.1167,0.4154,0.5645
S00129,5,1,1,61.64,36.83,19,2,0,0,39.7733,63.17,0.1445,0.5769,0.5692
S00130,6,1,1,86.78,41.95,22,1,0,0,49.6859,58.05,0.2044,0.5385,0.5237
S00131,5,0,0,100.0,99.74112311070684,28,0,0,0,56.6102,0.2589,0.3879,0.0,0.4029
S00132,5,0,1,70.18,21.18,27,2,1,0,47.9351,83.82,0.026,0.3769,0.6733
S00133,1,0,0,73.42,46.77,27,4,0,0,53.0773,53.23,0.019,0.1538,0.5887
S00134,5,0,1,56.02,20.39,23,2,0,0,39.8982,79.61,0.2225,0.3769,0.6846
S00135,7,1,1,61.21,33.2,16,2,0,0,37.8217,66.8,0.1505,0.5769,0.5906
S00136,3,0,1,72.05,38.86,25,6,1,0,55.189,66.14,0.0,0.5308,0.5387
S00137,5,0,1,73.96,53.93,23,3,0,0,48.9973,46.07,0.0265,0.4154,0.5089
S00138,1,0,1,66.89,32.5,18,7,1,0,50.8955,72.5,0.0716,0.5692,0.5696
S00139,3,0,1,77.59,40.31,16,0,0,0,40.5275,59.69,0.0769,0.3,0.6219
S00140,4,1,1,58.62,1.05,1,0,2,0,24.0412,100.0,0.1864,0.5,0.7909
S00141,8,1,1,69.49,43.45,9,3,1,0,38.9042,61.55,0.0355,0.6154,0.5562
S00142,2,1,0,57.7,38.18,19,3,0,0,40.1204,61.82,0.1992,0.3154,0.628
S00143,3,0,1,74.81,39.23,16,3,0,0,45.1848,60.77,0.0383,0.4154,0.5811
S00144,4,1,1,47.52,20.34,0,4,0,1,26.7003,79.66,0.3405,0.6538,0.6617
S00145,8,0,1,74.27,32.85,20,1,1,0,43.4955,72.15,0.0308,0.3385,0.6517
S00146,7,1,1,67.82,33.77,23,5,0,0,50.3875,66.23,0.0587,0.6923,0.5155
S00147,1,1,0,74.71,35.82,27,5,1,0,55.5163,69.18,0.0369,0.3923,0.5843
S00148,2,0,0,47.22,99.369103199268,13,9,1,0,43.9076,5.6309,0.3446,0.3462,0.3823
S00149,7,1,1,81.82,46.84,25,1,1,0,49.4816,58.16,0.1356,0.5385,0.5248
S00150,1,0,0,67.52,48.98,16,0,0,0,36.4995,51.02,0.0629,0.0,0.6763
S00151,7,1,1,75.26,39.76,29,2,1,0,51.1535,65.24,0.0446,0.5769,0.5377
S00152,3,0,0,72.05,24.24,11,1,2,1,37.2685,85.76,0.0,0.0385,0.803
S00153,8,0,0,53.36,26.91,15,4,1,0,37.9346,78.09,0.2594,0.1538,0.7411
S00154,3,0,1,66.15,38.89,29,5,0,0,53.2788,61.11,0.0819,0.4923,0.5349
S00155,4,0,1,92.63,96.56766563231412,36,4,0,0,66.1002,3.4323,0.2856,0.4538,0.2689
S00156,6,0,0,79.91,59.6,24,7,0,0,59.6628,40.4,0.1091,0.2692,0.4855
S00157,2,0,1,73.95,39.0,21,0,0,0,42.0376,61.0,0.0264,0.3,0.6219
S00158,5,1,1,58.14,39.69,15,6,1,0,43.6928,65.31,0.1931,0.7308,0.5256
S00159,5,0,1,55.41,21.61,0,4,0,0,29.8563,78.39,0.231,0.4538,0.6956
S00160,7,0,1,76.15,64.14,33,2,1,0,53.8824,40.86,0.0569,0.3769,0.4806
S00161,8,1,1,82.51,56.39,21,4,1,0,53.1539,48.61,0.1452,0.6538,0.445
S00162,6,1,1,75.13,53.04,30,6,1,0,59.3871,51.96,0.0427,0.7308,0.4173
S00163,4,0,1,97.64,41.095,22,0,0,0,52.1068,58.905,0.3552,0.3,0.5782
S00164,4,0,1,61.76,46.0,30,1,1,0,44.4237,59.0,0.1428,0.3385,0.5959
S00165,4,1,1,74.69,39.03,28,4,1,0,54.1785,65.97,0.0366,0.6538,0.5108
S00166,7,1,1,46.6,31.6,21,3,0,0,36.8669,68.4,0.3532,0.6154,0.5907
S00167,3,0,1,75.17,62.98,19,7,0,0,54.8007,37.02,0.0433,0.5692,0.414
S00168,2,1,1,94.04,51.95,20,8,0,0,64.865,48.05,0.3052,0.8077,0.3632
S00169,3,0,1,56.38,25.56,18,3,2,1,38.9992,84.44,0.2175,0.4154,0.6974
S00170,1,0,1,84.63,25.23,12,2,0,0,44.8168,74.77,0.1746,0.3769,0.648
S00171,1,1,1,93.62,96.2210326666896,26,2,0,0,56.7179,3.779,0.2994,0.5769,0.2724
S00172,1,1,1,61.65,17.6,9,8,1,0,45.3836,87.4,0.1443,0.8077,0.5888
S00173,7,1,1,79.0,44.27,18,7,0,0,55.7395,55.73,0.0965,0.7692,0.4355
S00174,6,0,0,95.69,42.6,36,5,0,0,69.2473,57.4,0.3281,0.1923,0.5392
S00175,6,0,1,75.46,29.14,28,3,0,0,52.5634,70.86,0.0473,0.4154,0.5956
S00176,4,0,0,83.8,47.95,25,4,0,0,56.0428,52.05,0.1631,0.1538,0.5736
S00177,6,0,1,45.39,10.41,15,2,0,1,30.9005,89.59,0.37,0.3769,0.756
S00178,2,0,1,80.96,44.85,21,1,0,0,46.7647,55.15,0.1237,0.3385,0.5723
S00179,8,0,1,79.76,70.33,45,2,0,0,62.4451,29.67,0.107,0.3769,0.4059
S00180,5,0,1,52.11,33.83,18,1,3,1,33.445,81.17,0.2768,0.3385,0.723
S00181,8,1,1,57.54,36.03,12,3,0,0,35.9039,63.97,0.2014,0.6154,0.5764
S00182,2,0,0,81.06,54.87,33,1,0,0,53.9233,45.13,0.1251,0.0385,0.5822
S00183,4,0,0,67.46,23.24,31,0,1,0,45.3738,81.76,0.0637,0.0,0.7682
S00184,6,1,1,88.68,24.38,22,5,0,0,58.1382,75.62,0.2308,0.6923,0.5259
S00185,4,0,0,76.66,41.55,13,6,0,0,49.9143,58.45,0.064,0.2308,0.6014
S00186,4,1,1,72.85,42.41,13,4,0,0,44.5442,57.59,0.0111,0.6538,0.511
S00187,2,0,1,69.44,40.39,16,3,1,0,43.0368,64.61,0.0362,0.4154,0.604
S00188,4,0,0,76.39,45.51,24,3,0,0,50.5625,54.49,0.0602,0.1154,0.6121
S00189,2,1,1,84.04,33.73,14,4,0,0,49.6134,66.27,0.1664,0.6538,0.528
S00190,3,1,1,80.01,46.93,22,1,1,0,46.9779,58.07,0.1105,0.5385,0.5332
S00191,6,1,1,65.65,44.08,18,4,1,0,44.6303,60.92,0.0888,0.6538,0.524
S00192,6,1,1,90.59,47.36,32,5,0,0,64.8344,52.64,0.2573,0.6923,0.4106
S00193,5,0,1,81.87,40.12,31,2,0,0,54.984,59.88,0.1363,0.3769,0.5529
S00194,3,1,1,77.78,31.44,28,2,0,0,51.5683,68.56,0.0795,0.5769,0.5495
S00195,8,1,1,73.38,34.65,37,3,1,0,57.0704,70.35,0.0185,0.6154,0.5278
S00196,1,1,1,79.5,44.47,34,7,0,0,65.431,55.53,0.1034,0.7692,0.4008
S00197,3,0,0,44.52,26.54,14,5,1,0,35.7285,78.46,0.3821,0.1923,0.7407
S00198,1,0,1,75.62,52.22,16,0,0,0,39.7395,47.78,0.0495,0.3,0.577
S00199,3,1,1,96.6,96.74234201560652,26,4,0,0,61.756,3.2577,0.3407,0.6538,0.2334
S00200,8,0,1,72.05,23.99,12,1,0,0,37.8617,76.01,0.0,0.3385,0.6869
S00201,3,0,1,73.25,43.9,22,0,1,0,42.3508,61.1,0.0167,0.3,0.6212
S00202,8,0,1,63.06,30.8,22,5,1,0,47.8902,74.2,0.1248,0.4923,0.6061
S00203,4,0,1,79.39,60.05,32,4,0,0,58.4314,39.95,0.1019,0.4538,0.4418
S00204,6,0,0,69.07,46.83,24,3,0,0,47.6345,53.17,0.0414,0.1154,0.6171
S00205,4,0,1,91.64,61.35,38,1,0,0,61.1214,38.65,0.2719,0.3385,0.4561
S00206,3,0,1,72.05,22.63,26,3,1,1,50.013,82.37,0.0,0.4154,0.6506
S00207,7,0,1,65.22,25.97,12,0,2,0,33.2066,84.03,0.0948,0.3,0.7449
S00208,8,1,0,62.99,42.77,15,2,2,0,37.9405,67.23,0.1257,0.2769,0.6669
S00209,3,0,1,72.05,53.45,32,3,0,0,53.5723,46.55,0.0,0.4154,0.4948
S00210,7,0,1,69.15,13.44,16,2,1,1,40.9977,91.56,0.0402,0.3769,0.7285
S00211,3,0,1,63.78,51.15,18,6,0,0,47.7284,48.85,0.1148,0.5308,0.4957
S00212,6,0,1,40.64,41.095,14,4,0,0,32.2534,58.905,0.4359,0.4538,0.6093
S00213,7,1,1,58.33,34.92,17,3,1,0,39.186,70.08,0.1904,0.6154,0.5893
S00214,4,1,1,79.92,48.59,25,0,0,0,46.7985,51.41,0.1092,0.5,0.5168
S00215,6,0,1,79.86,39.63,18,4,0,1,50.3143,60.37,0.1084,0.4538,0.5519
S00216,3,0,1,62.23,48.23,23,0,1,0,38.5361,56.77,0.1363,0.3,0.6172
S00217,1,0,1,63.07,35.04,23,3,1,0,44.6413,69.96,0.1246,0.4154,0.6197
S00218,1,0,1,99.9,49.72,26,2,0,0,59.2299,50.28,0.3865,0.3769,0.4996
S00219,4,0,1,100.0,75.52,22,6,0,0,64.5893,24.48,0.3879,0.5308,0.3392
S00220,8,0,1,89.25,38.41,38,0,1,0,58.2424,66.59,0.2387,0.3,0.5875
S00221,2,0,1,95.39,62.26,45,0,0,0,64.8509,37.74,0.3239,0.3,0.449
S00222,4,1,1,98.57,60.22,34,3,0,0,65.3667,39.78,0.3681,0.6154,0.3765
S00223,6,0,1,100.0,61.1,30,2,0,0,61.6428,38.9,0.3879,0.3769,0.4456
S00224,2,0,1,67.47,60.99,29,2,0,0,48.0375,39.01,0.0636,0.3769,0.4937
S00225,6,0,1,58.83,35.41,21,3,0,0,41.7589,64.59,0.1835,0.4154,0.6084
S00226,3,0,1,99.5,44.25,31,2,0,0,62.036,55.75,0.381,0.3769,0.5116
S00227,7,0,1,57.54,97.86893823564336,25,0,1,0,37.8465,7.1311,0.2014,0.3,0.4211
S00228,5,0,1,56.57,27.11,10,1,1,0,30.4833,77.89,0.2149,0.3385,0.7202
S00229,5,0,1,56.92,40.01,11,5,1,0,38.9088,64.99,0.21,0.4923,0.6007
S00230,2,0,1,70.03,47.54,25,4,0,0,50.5348,52.46,0.028,0.4538,0.5195
S00231,4,1,1,42.23,21.34,13,3,1,0,30.3731,83.66,0.4139,0.6154,0.6745
S00232,7,1,0,50.5,25.54,20,3,0,1,37.8336,74.46,0.2991,0.3154,0.6866
S00233,1,0,1,62.66,43.62,29,3,0,0,48.0366,56.38,0.1303,0.4154,0.5535
S00234,7,0,1,54.06,26.4,4,3,0,0,29.7661,73.6,0.2497,0.4154,0.6864
S00235,4,1,1,87.94,33.27,28,6,0,0,63.3246,66.73,0.2205,0.7308,0.4626
S00236,6,1,0,72.1,33.77,38,4,0,0,59.0747,66.23,0.0007,0.3538,0.5697
S00237,6,0,1,80.66,47.48,21,2,0,0,48.5678,52.52,0.1195,0.3769,0.5459
S00238,4,0,1,79.01,31.31,19,3,1,0,48.6444,73.69,0.0966,0.4154,0.6207
S00239,3,0,1,68.9,15.18,3,1,1,0,31.2627,89.82,0.0437,0.3385,0.7652
S00240,6,1,1,86.82,52.4,29,3,0,0,57.7006,47.6,0.205,0.6154,0.4346
S00241,2,0,1,78.78,34.42,30,0,1,0,49.3086,70.58,0.0934,0.3,0.6347
S00242,5,0,0,67.22,36.62,25,2,0,0,45.5647,63.38,0.067,0.0769,0.6748
S00243,1,0,1,46.74,28.6,5,0,0,1,21.6621,71.4,0.3513,0.3,0.7348
S00244,6,0,0,79.81,96.11674870228563,25,6,0,0,58.293,3.8833,0.1077,0.2308,0.3538
S00245,6,0,0,53.08,34.93,17,2,0,0,35.1629,65.07,0.2633,0.0769,0.718
S00246,1,1,0,77.7,51.55,22,7,2,0,57.5924,58.45,0.0784,0.4692,0.5149
S00247,7,0,0,73.18,26.0,14,3,1,0,43.3463,79.0,0.0157,0.1154,0.7354
S00248,4,0,1,51.59,43.68,16,4,2,0,37.8198,66.32,0.284,0.4538,0.6195
S00249,7,0,1,75.88,30.96,17,1,0,0,42.3598,69.04,0.0532,0.3385,0.6433
S00250,1,1,1,74.87,36.97,22,7,1,0,56.4604,68.03,0.0391,0.7692,0.4822
S00251,2,0,1,74.92,33.83,29,4,0,0,54.8637,66.17,0.0398,0.4538,0.5592
S00252,4,0,1,72.05,33.41,24,4,0,0,50.7496,66.59,0.0,0.4538,0.5753
S00253,2,0,0,62.21,51.24,24,6,0,0,50.6597,48.76,0.1366,0.2308,0.56
S00254,3,1,1,80.87,59.89,21,3,1,0,50.5749,45.11,0.1224,0.6154,0.4496
S00255,6,1,1,61.69,41.095,24,5,0,0,48.5287,58.905,0.1438,0.6923,0.4927
S00256,2,1,1,55.88,29.87,25,7,1,1,50.644,75.13,0.2244,0.7692,0.531
S00257,6,1,1,3.532500000000013,98.2703946585423,40,2,0,0,28.988,1.7296,0.951,0.5769,0.3612
S00258,1,0,1,86.05,33.06,22,0,0,0,47.4708,66.94,0.1943,0.3,0.6266
S00259,2,0,1,81.09,48.74,29,0,0,0,49.6394,51.26,0.1255,0.3,0.5563
S00260,5,0,1,68.89,14.73,10,3,0,0,39.2574,85.27,0.0439,0.4154,0.6998
S00261,7,1,1,42.91,95.58010264584117,11,2,0,1,27.5356,4.4199,0.4044,0.5769,0.3771
S00262,2,1,0,94.23,51.91,19,1,0,0,50.8863,48.09,0.3078,0.2385,0.5546
S00263,3,0,1,42.67,9.92,5,0,0,0,20.0341,90.08,0.4078,0.3,0.8152
S00264,8,1,1,80.79,51.68,41,2,0,0,60.4842,48.32,0.1213,0.5769,0.4374
S00265,8,0,1,100.0,47.04,24,3,0,0,60.0065,52.96,0.3879,0.4154,0.498
S00266,5,0,1,74.24,36.27,4,0,1,0,32.0689,68.73,0.0304,0.3,0.6877
S00267,4,0,1,72.05,45.21,22,5,0,0,51.4862,54.79,0.0,0.4923,0.5159
S00268,3,1,1,77.69,33.46,19,5,2,0,51.9626,76.54,0.0783,0.6923,0.5512
S00269,5,1,1,74.97,31.01,30,6,2,0,59.3231,78.99,0.0405,0.7308,0.5256
S00270,5,0,1,100.0,70.69,23,1,0,0,55.5671,29.31,0.3879,0.3385,0.4381
S00271,3,1,1,59.35,24.02,14,1,0,0,33.9682,75.98,0.1763,0.5385,0.6504
S00272,1,1,1,57.47,99.3798822858076,27,3,0,1,44.7742,0.6201,0.2024,0.6154,0.2919
S00273,2,1,1,67.09,43.47,10,7,0,0,46.2297,56.53,0.0688,0.7692,0.472
S00274,8,1,1,98.11,52.57,30,5,0,0,66.656,47.43,0.3617,0.6923,0.3833
S00275,4,0,1,63.35,45.64,22,0,0,0,38.3908,54.36,0.1207,0.3,0.6081
S00276,4,1,0,78.45,40.67,19,3,0,0,48.4204,59.33,0.0888,0.3154,0.589
