student_id,semester,hostel_resident,internet_access,attendance_percentage,avg_assignment_score,lms_login_frequency,library_visits_per_month,disciplinary_actions,dropout
S00047,4,0,1,71.88,96.47047268900027,22.0,2.0,1,0
S00048,8,1,1,69.01,31.1,14.0,4.0,1,0
S00049,6,0,1,79.39,43.41,21.0,1.0,1,0
S00050,7,1,0,45.86,21.6,18.0,5.0,1,1
S00051,7,0,0,71.83,51.82,7.0,2.0,0,0
S00052,2,0,0,73.19,18.22,4.0,3.0,0,0
S00053,3,1,1,73.21,28.39,28.0,3.0,3,0
S00054,4,0,1,51.49,18.78,11.0,11.0,1,0
S00055,4,1,0,78.7,34.43,29.0,1.0,0,0
S00056,1,0,0,87.9,39.7,41.0,1.0,0,0
S00057,5,0,0,78.11,,17.0,0.0,0,0
S00058,2,0,0,68.56,19.61,8.0,4.0,1,0
S00059,6,1,0,100.0,53.6,30.0,2.0,0,0
S00060,6,0,1,58.13,24.28,12.0,0.0,1,1
S00061,8,0,1,83.6,99.31890216562122,26.0,1.0,0,0
S00062,6,0,0,75.65,31.61,28.0,5.0,1,0
S00063,3,0,1,100.0,61.83,35.0,1.0,0,0
S00064,8,0,1,77.8,42.97,25.0,2.0,1,0
S00065,4,1,1,81.02,42.56,34.0,4.0,1,0
S00066,3,0,1,79.59,46.28,31.0,3.0,0,0
S00067,8,1,0,56.13,33.95,15.0,7.0,0,0
S00068,3,0,0,58.97,19.84,23.0,,1,0
S00069,1,0,1,67.86,33.33,9.0,1.0,0,0
S00070,4,0,1,86.36,52.73,36.0,1.0,0,0
S00071,7,0,1,75.5,50.31,24.0,1.0,0,0
S00072,2,0,0,68.9,37.86,12.0,6.0,0,0
S00073,4,0,1,92.58,66.46,26.0,3.0,0,1
S00074,2,0,1,42.26,37.99,,1.0,1,0
S00075,6,1,1,52.56,23.28,9.0,3.0,2,0
S00076,4,0,1,34.55,33.83,12.0,0.0,0,0
S00077,3,0,1,90.12,56.07,36.0,0.0,0,0
S00078,2,0,1,70.55,49.89,22.0,3.0,0,0
S00079,5,0,1,86.49,44.42,21.0,1.0,0,0
S00080,6,1,1,70.36,42.47,21.0,4.0,0,0
S00081,8,0,1,87.35,25.8,17.0,3.0,0,0
S00082,4,1,1,70.1,39.12,18.0,2.0,0,0
S00083,2,0,1,78.15,45.23,,0.0,0,0
S00084,7,0,1,75.95,47.93,23.0,4.0,0,0
S00085,6,1,1,77.07,20.7,,0.0,0,0
S00086,6,0,0,97.27,51.17,32.0,4.0,0,0
S00087,1,1,1,47.63,22.59,23.0,3.0,1,1
S00088,3,0,1,70.97,43.94,32.0,0.0,0,0
S00089,7,1,1,74.97,15.47,14.0,4.0,1,0
S00090,7,0,1,72.72,30.25,17.0,3.0,0,0
S00091,4,0,1,66.03,40.67,27.0,0.0,0,0
S00092,7,1,1,63.98,33.42,25.0,2.0,0,0
S00093,7,0,1,94.95,67.84,26.0,2.0,0,0
S00094,4,0,0,70.94,33.66,18.0,2.0,0,0
S00095,8,1,1,100.0,55.75,33.0,8.0,0,0
S00096,3,1,0,79.92,20.36,,7.0,0,0
S00097,2,1,1,67.66,29.5,25.0,5.0,1,0
S00098,6,1,1,80.29,57.49,,1.0,1,0
S00099,6,1,0,73.63,33.43,20.0,2.0,0,0
S00100,2,1,1,92.13,44.66,18.0,6.0,0,0
S00101,7,1,1,54.48,29.8,27.0,5.0,0,0
S00102,2,0,1,44.98,31.8,14.0,0.0,0,1
S00103,7,0,1,77.41,33.92,30.0,1.0,0,0
S00104,1,1,1,84.54,35.86,16.0,3.0,0,0
S00105,7,1,1,76.29,41.23,13.0,6.0,0,0
S00106,7,0,1,82.09,43.99,29.0,2.0,0,0
S00107,7,0,1,79.88,29.0,33.0,1.0,0,0
S00108,6,0,1,49.79,21.5,5.0,6.0,1,0
S00109,4,0,1,76.22,24.94,23.0,0.0,0,0
S00110,6,1,0,91.75,44.48,17.0,3.0,1,0
S00111,3,0,1,74.58,,18.0,2.0,0,0
S00112,7,1,1,52.35,21.27,13.0,,2,0
S00113,5,1,0,66.99,49.23,25.0,1.0,0,0
S00114,4,1,0,80.35,43.12,9.0,5.0,1,0
S00115,5,0,1,98.93,69.13,43.0,2.0,0,0
S00116,5,1,1,42.65,5.0,10.0,6.0,1,1
S00117,1,1,1,77.42,45.43,35.0,6.0,0,0
S00118,2,1,0,58.02,40.8,23.0,2.0,0,0
S00119,2,0,1,79.62,42.08,32.0,6.0,0,0
S00120,1,0,1,80.82,35.2,42.0,1.0,1,0
S00121,4,1,1,68.5,44.62,15.0,6.0,0,0
S00122,6,0,1,81.47,54.84,27.0,5.0,1,0
S00123,6,0,1,89.1,59.29,21.0,0.0,0,0
S00124,4,1,0,69.53,18.94,21.0,6.0,1,1
S00125,7,1,1,51.94,28.8,21.0,4.0,1,0
S00126,5,0,1,93.38,52.07,,4.0,0,0
S00127,1,0,0,84.43,35.38,24.0,2.0,1,0
S00128,7,0,1,80.46,41.41,16.0,3.0,0,1
S00129,5,1,1,61.64,36.83,19.0,2.0,0,0
S00130,6,1,1,86.78,41.95,,1.0,0,0
S00131,5,0,0,100.0,99.74112311070684,28.0,0.0,0,0
S00132,5,0,1,70.18,21.18,27.0,2.0,1,0
S00133,1,0,0,73.42,46.77,27.0,4.0,0,0
S00134,5,0,1,56.02,20.39,23.0,2.0,0,0
S00135,7,1,1,61.21,33.2,16.0,2.0,0,0
S00136,3,0,1,,38.86,25.0,6.0,1,0
S00137,5,0,1,73.96,53.93,23.0,,0,0
S00138,1,0,1,66.89,32.5,18.0,7.0,1,0
S00139,3,0,1,77.59,40.31,16.0,0.0,0,0
S00140,4,1,1,58.62,1.05,1.0,0.0,2,0
S00141,8,1,1,69.49,43.45,9.0,3.0,1,0
S00142,2,1,0,57.7,38.18,19.0,3.0,0,0
S00143,3,0,1,74.81,39.23,16.0,3.0,0,0
S00144,4,1,1,47.52,20.34,0.0,4.0,0,1
S00145,8,0,1,74.27,32.85,20.0,1.0,1,0
S00146,7,1,1,67.82,33.77,23.0,5.0,0,0
S00147,1,1,0,74.71,35.82,27.0,5.0,1,0
S00148,2,0,0,47.22,99.369103199268,13.0,9.0,1,0
S00149,7,1,1,81.82,46.84,25.0,1.0,1,0
S00150,1,0,0,67.52,48.98,16.0,0.0,0,0
S00151,7,1,1,75.26,39.76,29.0,2.0,1,0
S00152,3,0,0,,24.24,11.0,1.0,2,1
S00153,8,0,0,53.36,26.91,15.0,4.0,1,0
S00154,3,0,1,66.15,38.89,29.0,5.0,0,0
S00155,4,0,1,92.63,96.56766563231412,36.0,4.0,0,0
S00156,6,0,0,79.91,59.6,24.0,7.0,0,0
S00157,2,0,1,73.95,39.0,21.0,0.0,0,0
S00158,5,1,1,58.14,39.69,15.0,6.0,1,0
S00159,5,0,1,55.41,21.61,0.0,4.0,0,0
S00160,7,0,1,76.15,64.14,33.0,2.0,1,0
S00161,8,1,1,82.51,56.39,21.0,4.0,1,0
S00162,6,1,1,75.13,53.04,30.0,6.0,1,0
S00163,4,0,1,97.64,,,0.0,0,0
S00164,4,0,1,61.76,46.0,30.0,1.0,1,0
S00165,4,1,1,74.69,39.03,28.0,4.0,1,0
S00166,7,1,1,46.6,31.6,21.0,3.0,0,0
S00167,3,0,1,75.17,62.98,19.0,7.0,0,0
S00168,2,1,1,94.04,51.95,20.0,8.0,0,0
S00169,3,0,1,56.38,25.56,18.0,3.0,2,1
S00170,1,0,1,84.63,25.23,12.0,2.0,0,0
S00171,1,1,1,93.62,96.2210326666896,26.0,2.0,0,0
S00172,1,1,1,61.65,17.6,9.0,8.0,1,0
S00173,7,1,1,79.0,44.27,18.0,7.0,0,0
S00174,6,0,0,95.69,42.6,36.0,5.0,0,0
S00175,6,0,1,75.46,29.14,28.0,3.0,0,0
S00176,4,0,0,83.8,47.95,25.0,4.0,0,0
S00177,6,0,1,45.39,10.41,15.0,2.0,0,1
S00178,2,0,1,80.96,44.85,21.0,1.0,0,0
S00179,8,0,1,79.76,70.33,45.0,2.0,0,0
S00180,5,0,1,52.11,33.83,18.0,1.0,3,1
S00181,8,1,1,57.54,36.03,12.0,,0,0
S00182,2,0,0,81.06,54.87,33.0,1.0,0,0
S00183,4,0,0,67.46,23.24,31.0,0.0,1,0
S00184,6,1,1,88.68,24.38,22.0,5.0,0,0
S00185,4,0,0,76.66,41.55,13.0,6.0,0,0
S00186,4,1,1,72.85,42.41,13.0,4.0,0,0
S00187,2,0,1,69.44,40.39,16.0,3.0,1,0
S00188,4,0,0,76.39,45.51,24.0,3.0,0,0
S00189,2,1,1,84.04,33.73,14.0,4.0,0,0
S00190,3,1,1,80.01,46.93,22.0,1.0,1,0
S00191,6,1,1,65.65,44.08,18.0,4.0,1,0
S00192,6,1,1,90.59,47.36,32.0,5.0,0,0
S00193,5,0,1,81.87,40.12,31.0,2.0,0,0
S00194,3,1,1,77.78,31.44,28.0,2.0,0,0
S00195,8,1,1,73.38,34.65,37.0,3.0,1,0
S00196,1,1,1,79.5,44.47,34.0,7.0,0,0
S00197,3,0,0,44.52,26.54,14.0,5.0,1,0
S00198,1,0,1,75.62,52.22,16.0,0.0,0,0
S00199,3,1,1,96.6,96.74234201560651,26.0,4.0,0,0
S00200,8,0,1,,23.99,12.0,1.0,0,0
S00201,3,0,1,73.25,43.9,,0.0,1,0
S00202,8,0,1,63.06,30.8,22.0,5.0,1,0
S00203,4,0,1,79.39,60.05,32.0,4.0,0,0
S00204,6,0,0,69.07,46.83,24.0,3.0,0,0
S00205,4,0,1,91.64,61.35,38.0,1.0,0,0
S00206,3,0,1,,22.63,26.0,3.0,1,1
S00207,7,0,1,65.22,25.97,12.0,0.0,2,0
S00208,8,1,0,62.99,42.77,15.0,2.0,2,0
S00209,3,0,1,,53.45,32.0,3.0,0,0
S00210,7,0,1,69.15,13.44,16.0,2.0,1,1
S00211,3,0,1,63.78,51.15,18.0,6.0,0,0
S00212,6,0,1,40.64,,14.0,4.0,0,0
S00213,7,1,1,58.33,34.92,17.0,3.0,1,0
S00214,4,1,1,79.92,48.59,25.0,0.0,0,0
S00215,6,0,1,79.86,39.63,18.0,4.0,0,1
S00216,3,0,1,62.23,48.23,23.0,0.0,1,0
S00217,1,0,1,63.07,35.04,23.0,3.0,1,0
S00218,1,0,1,99.9,49.72,26.0,2.0,0,0
S00219,4,0,1,100.0,75.52,22.0,6.0,0,0
S00220,8,0,1,89.25,38.41,38.0,0.0,1,0
S00221,2,0,1,95.39,62.26,45.0,0.0,0,0
S00222,4,1,1,98.57,60.22,34.0,3.0,0,0
S00223,6,0,1,100.0,61.1,30.0,2.0,0,0
S00224,2,0,1,67.47,60.99,29.0,2.0,0,0
S00225,6,0,1,58.83,35.41,21.0,3.0,0,0
S00226,3,0,1,99.5,44.25,31.0,2.0,0,0
S00227,7,0,1,57.54,97.86893823564337,25.0,0.0,1,0
S00228,5,0,1,56.57,27.11,10.0,1.0,1,0
S00229,5,0,1,56.92,40.01,11.0,5.0,1,0
S00230,2,0,1,70.03,47.54,25.0,4.0,0,0
S00231,4,1,1,42.23,21.34,13.0,3.0,1,0
S00232,7,1,0,50.5,25.54,20.0,3.0,0,1
S00233,1,0,1,62.66,43.62,29.0,,0,0
S00234,7,0,1,54.06,26.4,4.0,3.0,0,0
S00235,4,1,1,87.94,33.27,28.0,6.0,0,0
S00236,6,1,0,72.1,33.77,38.0,4.0,0,0
S00237,6,0,1,80.66,47.48,21.0,2.0,0,0
S00238,4,0,1,79.01,31.31,19.0,3.0,1,0
S00239,3,0,1,68.9,15.18,3.0,1.0,1,0
S00240,6,1,1,86.82,52.4,29.0,3.0,0,0
S00241,2,0,1,78.78,34.42,30.0,0.0,1,0
S00242,5,0,0,67.22,36.62,25.0,2.0,0,0
S00243,1,0,1,46.74,28.6,5.0,0.0,0,1
S00244,6,0,0,79.81,96.11674870228565,25.0,6.0,0,0
S00245,6,0,0,53.08,34.93,17.0,2.0,0,0
S00246,1,1,0,77.7,51.55,,7.0,2,0
S00247,7,0,0,73.18,26.0,14.0,3.0,1,0
S00248,4,0,1,51.59,43.68,16.0,4.0,2,0
S00249,7,0,1,75.88,30.96,17.0,1.0,0,0
S00250,1,1,1,74.87,36.97,,7.0,1,0
S00251,2,0,1,74.92,33.83,29.0,4.0,0,0
S00252,4,0,1,,33.41,24.0,4.0,0,0
S00253,2,0,0,62.21,51.24,24.0,6.0,0,0
S00254,3,1,1,80.87,59.89,21.0,3.0,1,0
S00255,6,1,1,61.69,,24.0,5.0,0,0
S00256,2,1,1,55.88,29.87,25.0,7.0,1,1
S00257,6,1,1,2.5693080653998273,98.2703946585423,40.0,2.0,0,0
S00258,1,0,1,86.05,33.06,,0.0,0,0
S00259,2,0,1,81.09,48.74,29.0,0.0,0,0
S00260,5,0,1,68.89,14.73,10.0,3.0,0,0
S00261,7,1,1,42.91,95.58010264584117,11.0,2.0,0,1
S00262,2,1,0,94.23,51.91,19.0,1.0,0,0
S00263,3,0,1,42.67,9.92,5.0,0.0,0,0
S00264,8,1,1,80.79,51.68,41.0,2.0,0,0
S00265,8,0,1,100.0,47.04,24.0,3.0,0,0
S00266,5,0,1,74.24,36.27,4.0,0.0,1,0
S00267,4,0,1,,45.21,,5.0,0,0
S00268,3,1,1,77.69,33.46,19.0,5.0,2,0
S00269,5,1,1,74.97,31.01,30.0,6.0,2,0
S00270,5,0,1,100.0,70.69,23.0,1.0,0,0
S00271,3,1,1,59.35,24.02,14.0,1.0,0,0
S00272,1,1,1,57.47,99.3798822858076,27.0,3.0,0,1
S00273,2,1,1,67.09,43.47,10.0,7.0,0,0
S00274,8,1,1,98.11,52.57,30.0,5.0,0,0
S00275,4,0,1,63.35,45.64,22.0,0.0,0,0
S00276,4,1,0,78.45,40.67,19.0,3.0,0,0
S00277,4,1,1,88.07,52.53,30.0,2.0,0,0
S00278,7,1,0,83.68,98.67724972960518,55.0,5.0,2,0
S00279,1,0,0,87.27,50.29,32.0,2.0,0,0
S00280,1,1,0,93.27,49.56,,4.0,0,0
S00281,3,1,0,76.62,48.47,,6.0,0,0
S00282,4,0,1,65.14,16.25,24.0,0.0,0,0
S00283,6,1,0,74.21,95.59741252452757,22.0,8.0,0,0
S00284,4,0,0,,31.14,24.0,9.0,0,0
S00285,4,0,1,100.0,42.95,31.0,6.0,0,0
S00286,8,0,1,64.01,35.31,7.0,4.0,1,0
S00287,2,1,0,79.25,43.87,25.0,5.0,0,0
S00288,5,1,1,49.49,42.5,23.0,6.0,2,0
S00289,5,0,1,73.99,,11.0,0.0,1,0
S00290,4,1,1,67.69,29.88,13.0,4.0,0,0
S00291,7,0,1,82.14,99.81021899708993,21.0,3.0,0,0
S00292,3,0,1,82.53,55.21,29.0,0.0,1,0
S00293,8,1,1,93.25,,49.0,1.0,0,0
S00294,3,1,1,,64.42,23.0,5.0,0,0
S00295,5,1,0,71.01,56.86,23.0,6.0,2,0
S00296,5,1,1,57.83,38.48,17.0,3.0,0,0
S00297,7,1,1,59.59,34.63,16.0,2.0,1,0
S00298,4,0,1,76.54,28.61,24.0,5.0,0,0
S00299,3,0,1,74.37,45.54,20.0,5.0,0,0
S00300,1,0,0,75.87,74.54,46.0,2.0,1,0
S00301,3,1,1,63.97,51.61,26.0,0.0,1,0
S00302,7,1,1,93.56,45.42,27.0,4.0,0,0
S00303,1,1,0,,29.1,,7.0,0,0
S00304,8,0,1,63.14,53.62,21.0,3.0,1,0
S00305,5,0,1,55.84,19.54,17.0,2.0,0,0
S00306,2,1,1,68.87,40.17,20.0,1.0,1,0
S00307,3,1,1,90.7,43.17,27.0,5.0,0,0
S00308,5,0,0,67.68,27.88,11.0,4.0,1,0
S00309,3,0,1,73.52,38.44,10.0,4.0,0,0
S00310,1,0,1,,53.17,29.0,0.0,0,0
S00311,6,0,1,66.97,31.46,19.0,2.0,1,0
S00312,6,0,0,77.74,55.8,32.0,0.0,0,0
S00313,1,0,1,75.76,98.27284035913425,17.0,3.0,1,0
S00314,3,1,1,,33.75,8.0,3.0,0,0
S00315,2,0,1,65.04,41.17,26.0,2.0,0,0
S00316,6,0,1,77.32,56.91,22.0,3.0,0,0
S00317,6,0,1,4.32680921947367,97.32714791992375,36.0,1.0,0,0
S00318,6,1,1,91.22,97.18490945738942,,3.0,0,0
S00319,8,0,1,100.0,60.44,48.0,0.0,0,0
S00320,7,0,1,79.28,50.71,31.0,1.0,0,0
S00321,3,0,1,65.8,48.96,23.0,2.0,0,0
S00322,1,1,1,71.04,29.42,28.0,3.0,0,0
S00323,5,1,1,70.29,38.18,,4.0,0,0
S00324,8,0,1,65.88,24.39,7.0,2.0,0,0
S00325,8,0,0,77.74,56.57,27.0,0.0,1,0
S00326,2,0,1,78.44,67.15,40.0,2.0,0,0
S00327,2,1,1,54.39,10.26,0.0,0.0,1,0
S00328,1,1,1,88.32,57.34,32.0,3.0,0,0
S00329,2,0,1,44.45,51.14,0.0,5.0,1,0
S00330,5,0,1,68.66,40.11,21.0,6.0,0,0
S00331,5,1,0,,49.93,29.0,10.0,0,0
S00332,3,1,1,81.11,52.61,32.0,2.0,0,0
S00333,3,0,1,66.65,46.86,22.0,1.0,2,0
S00334,7,0,1,100.0,75.52,43.0,2.0,0,0
S00335,4,0,1,65.4,,29.0,1.0,0,0
S00336,7,1,1,41.97,11.91,10.0,4.0,0,1
S00337,8,1,1,78.79,60.35,34.0,5.0,0,0
S00338,3,1,1,45.32,,10.0,6.0,0,1
S00339,2,1,0,59.53,29.08,14.0,3.0,2,1
S00340,8,0,1,81.34,37.93,16.0,2.0,0,0
S00341,6,0,1,65.09,98.36437061888236,30.0,3.0,0,0
S00342,3,0,0,,38.65,23.0,2.0,0,0
S00343,5,1,1,54.63,35.48,0.0,4.0,0,0
S00344,5,1,1,84.88,47.96,31.0,1.0,1,0
S00345,8,0,1,46.64,31.81,10.0,3.0,2,0
S00346,3,0,0,91.78,55.87,27.0,3.0,0,0
S00347,8,1,1,64.87,99.72771348909694,18.0,6.0,2,0
S00348,8,1,1,94.97,43.0,28.0,2.0,1,0
S00349,2,1,1,59.39,50.44,40.0,4.0,1,0
S00350,2,0,1,100.0,49.35,,1.0,0,0
S00351,5,1,1,57.64,36.0,23.0,3.0,0,0
S00352,1,1,1,45.09,20.85,15.0,8.0,1,1
S00353,3,1,0,72.65,40.94,32.0,6.0,0,0
S00354,4,1,1,90.51,55.5,31.0,1.0,1,0
S00355,8,1,1,83.86,63.25,33.0,7.0,0,0
S00356,8,1,1,89.44,57.68,33.0,3.0,0,0
S00357,2,1,1,84.16,34.03,28.0,3.0,0,0
S00358,8,0,1,59.7,37.37,26.0,2.0,1,0
S00359,1,0,1,83.5,53.35,23.0,4.0,0,0
S00360,6,1,1,73.39,37.59,23.0,0.0,0,0
S00361,7,1,0,61.35,29.02,11.0,1.0,1,0
S00362,8,0,1,,32.4,16.0,3.0,0,0
S00363,2,0,1,71.16,40.59,2.0,0.0,0,0
S00364,8,1,0,93.24,44.2,34.0,3.0,0,0
S00365,1,1,1,64.28,34.06,25.0,1.0,1,0
S00366,5,1,0,63.58,28.89,,4.0,1,0
S00367,4,0,0,61.52,37.51,10.0,6.0,0,0
S00368,3,1,1,100.0,47.69,36.0,0.0,0,0
S00369,1,1,1,3.203942066058767,99.87769488020261,19.0,2.0,2,0
S00370,7,0,1,91.45,50.9,35.0,9.0,0,0
S00371,3,0,0,,29.82,12.0,2.0,1,1
S00372,6,1,1,79.6,38.95,22.0,3.0,0,0
S00373,4,0,0,75.94,35.91,11.0,1.0,0,0
S00374,3,1,1,90.5,28.49,23.0,0.0,0,0
S00375,8,1,1,88.33,56.12,28.0,3.0,1,0
S00376,1,1,1,73.23,99.06497187053665,24.0,5.0,0,0
S00377,6,0,0,63.94,29.25,,4.0,0,0
S00378,6,1,1,96.37,27.09,27.0,2.0,0,0
S00379,4,0,1,62.45,35.29,20.0,2.0,0,0
S00380,3,1,0,37.98,18.82,21.0,,2,0
S00381,1,0,1,44.12,14.19,6.0,2.0,0,1
S00382,8,1,1,47.77,27.88,18.0,1.0,0,0
S00383,8,1,0,80.94,54.84,,2.0,0,0
S00384,2,0,0,100.0,72.9,29.0,3.0,0,0
S00385,1,0,1,41.4,30.59,4.0,2.0,0,1
S00386,1,1,1,60.26,27.78,10.0,3.0,0,0
S00387,1,0,1,73.34,96.54882117192724,19.0,0.0,0,0
S00388,7,0,1,95.18,72.38,39.0,0.0,1,0
S00389,8,0,1,60.18,30.8,12.0,2.0,2,0
S00390,2,1,1,80.86,22.82,18.0,6.0,0,0
S00391,6,1,1,68.25,30.28,23.0,4.0,0,0
S00392,2,0,1,100.0,34.74,33.0,0.0,0,0
S00393,3,1,0,74.17,36.47,23.0,4.0,0,0
S00394,5,0,1,77.34,44.66,26.0,1.0,1,0
S00395,6,0,1,73.26,19.71,15.0,5.0,0,1
S00396,7,0,0,65.78,41.73,13.0,0.0,0,0
S00397,1,0,0,86.25,53.84,35.0,2.0,0,0
S00398,2,0,1,54.61,11.03,15.0,4.0,2,0
S00399,3,1,0,41.97,26.97,16.0,2.0,1,1
S00400,3,0,1,69.75,25.57,31.0,1.0,0,0
S00401,8,1,1,84.23,71.52,34.0,1.0,0,0
S00402,7,0,1,63.29,16.5,,1.0,0,0
S00403,3,0,1,74.8,31.49,22.0,2.0,0,0
S00404,8,0,1,53.69,28.99,24.0,2.0,0,0
S00405,4,1,1,87.94,52.3,32.0,4.0,0,0
S00406,5,1,0,81.78,42.06,27.0,4.0,0,0
S00407,4,0,1,72.3,17.62,9.0,3.0,1,0
S00408,2,0,1,74.53,39.58,18.0,1.0,0,0
S00409,8,0,1,51.1,22.04,15.0,1.0,2,0
S00410,1,1,1,51.77,16.62,4.0,3.0,3,1
S00411,2,0,0,70.17,95.63519028610675,28.0,3.0,0,0
S00412,2,1,1,79.71,39.77,24.0,9.0,0,0
S00413,3,0,0,80.47,,10.0,5.0,1,0
S00414,2,0,1,66.56,36.04,16.0,3.0,0,0
S00415,1,1,1,83.18,50.14,24.0,3.0,0,0
S00416,6,0,1,93.31,54.45,29.0,,0,0
S00417,8,0,1,70.67,21.03,33.0,1.0,0,0
S00418,1,1,0,76.64,42.01,29.0,0.0,0,0
S00419,3,0,1,68.88,28.55,10.0,1.0,0,0
S00420,5,0,1,70.11,20.93,10.0,4.0,0,0
S00421,8,0,1,74.54,27.39,21.0,1.0,0,0
S00422,6,0,1,97.55,66.5,33.0,2.0,0,0
S00423,7,1,1,85.73,52.97,35.0,7.0,0,0
S00424,5,0,1,84.38,48.74,41.0,4.0,0,0
S00425,4,1,1,65.19,46.3,34.0,1.0,1,0
S00426,2,1,1,58.53,42.48,14.0,5.0,1,0
S00427,7,1,0,77.84,52.25,32.0,9.0,0,0
S00428,7,1,1,90.66,66.26,33.0,2.0,0,0
S00429,1,1,1,97.85,53.21,23.0,1.0,0,0
S00430,6,1,0,35.21,20.87,,2.0,0,0
S00431,1,0,0,100.0,54.67,34.0,5.0,1,0
S00432,6,0,1,78.25,49.78,13.0,0.0,1,0
S00433,7,1,0,85.63,61.61,21.0,3.0,1,0
S00434,2,0,0,45.9,24.24,8.0,0.0,1,1
S00435,4,1,1,68.45,26.02,23.0,6.0,1,0
S00436,1,0,1,84.34,53.47,37.0,0.0,0,0
S00437,5,1,1,54.38,28.84,16.0,3.0,0,0
S00438,8,0,1,,19.71,3.0,0.0,1,1
S00439,1,1,0,77.03,31.28,8.0,3.0,1,0
S00440,4,0,1,71.25,42.53,26.0,,1,0
S00441,8,0,1,93.62,95.33606415342656,57.0,8.0,1,0
S00442,3,1,0,69.6,,17.0,6.0,0,0
S00443,2,1,1,70.7,46.96,31.0,0.0,0,0
S00444,4,1,1,82.47,43.84,17.0,5.0,0,0
S00445,5,1,0,87.5,24.34,23.0,2.0,0,0
S00446,6,0,1,61.37,95.44420547408026,17.0,1.0,1,1
S00447,3,1,1,86.17,31.23,23.0,6.0,0,0
S00448,8,0,1,64.17,51.51,24.0,2.0,0,0
S00449,5,0,0,72.25,35.88,26.0,3.0,0,0
S00450,3,0,1,,45.23,34.0,3.0,0,0
S00451,8,0,1,84.68,57.34,31.0,0.0,0,0
S00452,8,1,1,76.77,18.24,23.0,6.0,1,0
S00453,4,1,0,55.79,17.52,14.0,1.0,0,1
S00454,1,0,1,43.95,38.33,16.0,3.0,3,1
S00455,5,1,1,69.18,37.03,20.0,3.0,0,0
S00456,5,0,0,86.57,,28.0,2.0,0,0
S00457,2,0,1,78.75,38.2,29.0,4.0,1,0
S00458,6,1,1,75.63,29.22,25.0,2.0,0,0
S00459,7,0,1,71.89,96.42919628895733,25.0,4.0,0,0
S00460,1,0,1,76.64,35.74,18.0,2.0,0,0
S00461,6,1,1,57.09,,28.0,2.0,1,0
S00462,2,0,1,83.7,31.5,18.0,2.0,0,0
S00463,6,0,1,84.69,35.38,31.0,5.0,0,0
S00464,4,1,1,66.67,32.16,17.0,2.0,1,0
